N,P,K,temperature,humidity,ph,rainfall,label
63.91,51.09,30.73,25.63,87.33,5.87,186.37,rice
87.37,40.91,49.36,23.79,85.59,6.18,190.39,rice
77.61,59.15,35.31,20.78,76.22,5.69,206.59,rice
64.88,58.87,58.21,23.93,76.27,6.93,153.01,rice
79.81,37.55,58.62,23.79,89.8,6.41,198.31,rice
61.38,44.92,57.45,21.39,80.61,5.84,181.72,rice
96.37,39.03,41.1,23.47,80.56,6.51,199.12,rice
70.35,38.55,30.46,23.19,87.19,6.43,167.96,rice
86.5,31.11,57.85,24.93,89.21,6.04,283.58,rice
72.47,48.29,42.85,25.08,89.79,5.67,239.04,rice
80.8,45.08,59.0,20.36,86.3,6.51,251.87,rice
81.87,31.54,58.91,23.0,80.64,6.28,268.38,rice
67.39,38.36,55.59,25.01,76.25,6.66,224.77,rice
98.78,57.25,38.83,24.03,86.66,6.28,163.04,rice
91.01,37.19,41.55,26.85,83.38,6.78,230.57,rice
97.58,34.35,55.53,25.27,81.36,6.33,238.03,rice
95.79,44.68,39.51,21.3,88.6,6.34,261.82,rice
83.92,59.57,35.08,20.56,76.67,6.81,214.75,rice
96.87,37.26,46.7,25.14,82.39,6.11,169.14,rice
63.54,50.16,58.08,20.21,75.17,5.7,192.57,rice
67.84,52.85,50.88,24.69,82.03,5.54,204.46,rice
61.81,37.13,47.1,27.52,75.84,6.63,246.89,rice
73.01,51.85,32.92,24.6,76.78,6.43,235.62,rice
75.55,41.03,48.45,23.11,76.76,6.56,203.41,rice
70.85,48.97,59.7,25.15,84.74,5.82,297.98,rice
93.15,49.01,34.2,23.67,86.19,5.7,240.87,rice
74.27,46.07,45.55,24.36,83.75,5.52,185.58,rice
71.24,32.71,56.32,27.53,89.43,6.03,165.27,rice
81.71,55.06,52.22,23.09,80.62,6.38,172.93,rice
65.64,39.62,50.91,27.69,79.29,6.09,186.89,rice
92.09,35.6,51.07,27.24,88.03,6.16,174.1,rice
62.98,31.22,40.78,21.57,78.35,6.86,177.99,rice
99.48,47.73,38.81,20.55,89.45,6.02,192.76,rice
90.89,50.33,54.28,20.81,75.18,6.27,176.01,rice
67.95,30.5,54.3,20.15,89.55,6.68,284.51,rice
60.22,45.36,56.01,20.76,75.65,6.09,162.04,rice
92.62,36.79,57.4,25.46,88.37,6.43,228.68,rice
88.27,49.36,45.34,20.57,82.92,6.79,211.56,rice
89.16,35.23,45.05,22.55,89.89,6.92,297.36,rice
90.85,50.73,53.95,26.76,76.11,5.72,166.81,rice
62.96,41.6,49.5,20.19,83.31,6.89,209.68,rice
74.34,58.1,51.06,26.52,89.54,6.24,295.42,rice
64.63,34.13,53.87,22.25,82.85,5.89,279.83,rice
94.52,40.23,56.7,20.95,84.44,6.19,272.56,rice
84.93,33.4,40.14,25.57,85.44,6.97,188.69,rice
73.24,57.74,41.27,25.03,81.82,6.24,175.63,rice
62.54,56.32,32.82,27.02,84.41,5.99,250.3,rice
72.44,37.74,47.35,25.88,83.76,6.45,289.41,rice
73.01,49.8,31.08,26.43,88.52,5.86,233.51,rice
89.18,54.52,43.97,22.26,75.68,5.61,235.74,rice
85.5,46.66,46.28,21.42,79.21,5.69,192.0,rice
95.49,45.89,38.6,26.0,89.26,5.69,265.42,rice
78.89,37.26,47.72,26.45,88.35,5.73,178.06,rice
64.78,32.79,30.92,27.92,81.83,5.71,198.55,rice
88.53,56.92,31.12,23.3,84.3,6.46,213.82,rice
90.43,57.01,54.68,22.98,79.16,5.77,226.14,rice
82.45,48.99,40.81,26.21,77.82,6.02,186.36,rice
90.84,40.17,33.81,22.73,81.96,6.85,167.23,rice
79.75,40.48,45.67,27.45,80.3,6.21,241.59,rice
80.91,51.78,53.1,26.87,83.75,6.5,193.29,rice
77.1,56.91,36.47,23.43,76.17,5.76,237.19,rice
61.02,56.61,48.69,26.01,89.62,5.79,173.15,rice
64.32,53.4,32.56,26.04,89.79,5.56,222.17,rice
101.3,51.22,36.24,12.22,51.16,7.14,53.16,wheat
82.07,34.58,30.8,16.5,69.38,6.04,143.62,wheat
93.46,47.29,35.44,20.48,67.68,6.03,55.2,wheat
85.38,48.2,47.49,18.79,68.56,6.49,104.13,wheat
82.53,42.72,42.64,19.68,69.9,6.73,120.91,wheat
119.6,52.09,56.78,17.91,53.48,7.16,137.1,wheat
92.89,58.03,54.52,18.31,57.92,7.02,121.41,wheat
112.39,57.77,40.25,20.19,65.16,6.67,130.17,wheat
90.19,43.53,37.78,13.0,63.92,6.41,83.95,wheat
107.26,33.4,41.39,15.87,53.08,7.5,131.48,wheat
110.41,59.55,47.71,12.65,66.32,6.64,58.01,wheat
103.83,55.17,38.04,21.85,54.49,6.68,139.48,wheat
98.86,33.74,48.72,21.33,54.48,6.25,104.76,wheat
96.47,57.63,42.28,10.47,60.74,7.19,131.73,wheat
93.95,56.1,46.56,18.47,61.86,7.04,95.23,wheat
117.18,45.57,43.08,21.1,61.6,6.33,114.36,wheat
113.22,47.74,38.83,12.17,51.83,6.12,102.64,wheat
118.6,41.97,58.45,16.82,67.55,7.02,123.16,wheat
84.97,31.64,52.91,20.99,55.31,6.98,58.16,wheat
109.23,40.06,34.2,10.41,52.59,6.41,56.04,wheat
117.53,54.09,56.05,18.37,67.77,7.43,74.71,wheat
87.25,30.14,44.62,13.57,69.11,6.23,65.95,wheat
82.66,40.0,56.84,21.09,67.24,6.65,137.18,wheat
109.64,41.95,54.0,21.65,66.19,7.42,71.92,wheat
102.98,46.12,42.76,21.33,63.1,6.63,147.59,wheat
113.67,57.6,30.67,15.69,61.02,6.96,83.69,wheat
85.59,40.39,38.06,20.34,51.74,6.6,68.21,wheat
111.81,40.41,46.25,20.13,58.17,6.41,128.97,wheat
88.07,52.13,49.0,13.83,57.45,7.48,115.87,wheat
86.55,43.57,37.74,19.95,55.2,6.61,99.82,wheat
86.57,36.74,34.18,10.44,64.47,7.34,105.54,wheat
112.58,43.57,55.05,17.16,59.92,6.34,121.92,wheat
106.61,34.23,59.53,12.76,51.62,6.32,72.85,wheat
100.92,35.29,45.77,11.45,54.4,6.05,149.63,wheat
94.35,44.95,35.15,10.92,63.67,6.98,147.48,wheat
115.09,42.57,38.17,18.36,51.52,6.55,115.03,wheat
95.7,57.45,30.55,14.08,67.02,7.3,69.95,wheat
112.66,40.87,57.43,18.7,59.9,6.71,118.02,wheat
97.57,47.42,33.53,10.78,59.61,7.45,57.22,wheat
95.08,48.97,47.3,13.78,61.85,6.28,53.07,wheat
98.51,30.39,38.22,16.47,66.49,7.3,75.77,wheat
92.06,49.91,46.63,19.49,56.96,7.16,96.26,wheat
109.9,35.34,49.54,13.83,63.56,7.16,136.83,wheat
100.11,58.83,54.89,17.51,61.31,7.27,122.72,wheat
89.29,34.46,36.19,20.63,55.34,7.14,124.27,wheat
115.98,42.44,30.33,17.39,67.57,6.94,92.55,wheat
95.36,32.56,34.11,12.8,65.95,6.2,84.59,wheat
101.74,59.91,57.0,10.29,63.17,6.05,87.1,wheat
116.26,45.07,56.22,20.44,67.01,7.38,148.76,wheat
104.97,47.86,47.92,10.26,67.35,6.92,54.01,wheat
84.68,32.01,48.02,20.5,64.17,7.19,136.7,wheat
117.59,52.5,49.95,16.35,66.74,6.72,107.87,wheat
105.11,36.3,35.26,21.27,63.95,6.18,93.86,wheat
93.4,56.94,57.43,19.59,63.6,6.19,122.53,wheat
85.57,36.15,42.56,21.98,62.37,7.03,98.67,wheat
111.76,35.72,41.49,14.21,65.05,6.65,137.34,wheat
104.8,31.1,45.57,19.21,53.17,6.3,140.07,wheat
101.34,44.16,31.41,14.82,67.62,6.74,92.17,wheat
115.76,46.95,34.99,15.76,67.44,6.1,77.68,wheat
111.54,31.97,52.14,17.53,50.58,6.87,109.24,wheat
86.07,53.27,32.48,20.48,66.52,6.4,141.24,wheat
92.47,43.6,48.09,21.81,52.58,7.2,71.07,wheat
89.94,45.73,37.36,19.22,56.7,6.47,112.3,wheat
109.76,43.22,41.68,15.01,64.87,6.68,113.16,wheat
81.34,42.02,38.66,15.06,53.22,6.02,123.31,wheat
102.8,46.79,40.67,18.85,66.36,6.11,63.16,wheat
110.5,34.66,51.57,12.87,66.64,6.59,121.58,wheat
115.07,35.46,38.91,11.33,60.15,6.72,140.9,wheat
93.68,55.85,46.99,14.26,50.13,6.9,67.97,wheat
112.85,58.38,44.28,13.45,55.74,6.44,73.75,wheat
84.43,41.2,49.91,13.56,62.34,7.04,147.14,wheat
113.86,38.12,58.1,12.8,69.62,7.29,68.1,wheat
85.1,49.32,51.98,10.51,62.64,7.17,135.44,wheat
95.89,42.26,36.45,10.21,55.2,6.06,99.23,wheat
111.89,30.76,30.94,21.85,62.68,6.72,74.72,wheat
86.0,34.68,37.87,15.13,60.8,6.16,137.07,wheat
89.17,51.48,47.85,14.61,65.6,6.36,94.53,wheat
108.89,49.77,31.54,18.16,52.14,7.48,101.48,wheat
108.8,30.81,44.89,12.62,65.22,6.21,85.92,wheat
105.65,36.66,47.91,21.4,60.83,6.75,109.3,wheat
107.76,36.93,40.03,19.44,69.26,6.93,66.35,wheat
101.71,50.16,53.13,11.07,56.84,7.05,89.11,wheat
90.07,30.59,33.2,15.01,62.65,6.84,146.94,wheat
93.83,33.12,32.25,20.55,68.64,6.01,75.81,wheat
87.26,54.0,51.85,21.34,52.05,6.49,115.67,wheat
116.34,35.36,44.86,15.61,68.74,6.78,82.52,wheat
103.34,49.58,50.65,17.36,63.76,6.13,127.35,wheat
96.03,37.15,43.04,12.0,51.36,6.53,63.09,wheat
98.48,32.98,37.39,21.89,56.02,6.05,146.98,wheat
117.89,37.3,54.57,12.78,64.16,6.12,95.38,wheat
86.13,51.67,53.98,21.31,51.35,6.6,73.61,wheat
103.45,55.67,50.84,17.8,61.64,6.2,57.35,wheat
100.24,54.91,38.16,17.29,56.92,6.85,66.98,wheat
104.46,41.92,47.71,16.15,62.42,7.03,101.98,wheat
80.72,50.04,40.83,12.77,50.91,7.2,83.7,wheat
114.88,36.15,32.75,12.12,67.43,6.3,132.89,wheat
117.28,38.79,57.52,12.65,69.47,6.25,93.09,wheat
102.61,56.89,34.1,12.24,69.38,6.16,74.87,wheat
107.87,30.39,58.51,19.36,64.99,6.95,111.71,wheat
116.9,32.57,43.38,14.2,52.6,7.06,120.68,wheat
76.68,55.57,45.76,27.73,74.13,6.58,98.79,maize
76.7,54.38,49.7,23.46,69.75,5.81,97.17,maize
71.47,40.77,46.8,22.49,62.07,6.87,169.69,maize
99.46,50.24,50.65,24.05,60.93,5.85,97.45,maize
96.55,51.41,42.08,23.52,61.99,6.84,99.91,maize
88.99,51.96,55.57,20.85,70.49,6.08,153.53,maize
103.77,57.41,42.03,25.13,68.23,7.14,119.47,maize
102.23,56.01,64.01,21.73,58.7,6.32,155.44,maize
93.41,58.24,47.01,24.96,58.48,6.26,77.19,maize
104.73,62.95,56.2,25.2,56.97,6.01,123.63,maize
78.23,64.39,66.4,21.22,68.21,6.23,73.7,maize
74.48,61.54,59.53,20.49,70.29,7.03,76.89,maize
80.79,68.67,55.99,26.25,60.3,7.19,169.71,maize
72.28,40.55,49.73,23.68,55.42,6.32,85.32,maize
91.25,45.87,49.99,20.47,56.64,6.43,128.57,maize
107.46,40.23,60.08,27.96,74.36,6.81,115.22,maize
71.57,59.42,69.82,20.46,60.91,7.04,108.21,maize
74.88,66.94,59.86,25.56,70.38,6.63,168.98,maize
88.09,47.3,56.73,27.87,67.49,6.35,72.4,maize
107.36,67.81,61.92,21.91,62.64,6.38,143.02,maize
82.65,41.81,53.96,21.14,59.11,6.77,175.97,maize
90.29,68.03,41.8,20.97,57.43,5.8,131.62,maize
71.66,50.55,56.87,22.43,67.3,6.67,173.05,maize
75.93,43.04,68.73,20.81,70.49,6.3,75.75,maize
109.47,54.58,45.26,25.54,67.88,6.91,116.07,maize
108.6,47.7,60.7,20.5,65.61,5.93,98.62,maize
70.2,48.55,46.03,24.08,55.84,6.62,150.39,maize
108.07,49.22,56.07,27.97,74.37,6.47,177.94,maize
95.56,64.09,42.9,26.51,70.97,6.7,98.22,maize
104.72,56.17,53.51,24.92,60.86,5.89,141.96,maize
88.19,49.34,62.68,22.45,74.6,6.61,91.79,maize
90.62,58.31,50.43,24.99,67.04,6.59,132.19,maize
89.55,61.48,59.95,24.22,66.65,6.58,121.03,maize
96.67,48.18,63.86,23.41,69.96,6.64,176.92,maize
75.59,52.41,67.82,21.05,71.24,6.75,136.94,maize
71.2,43.66,47.04,27.09,68.13,6.93,108.45,maize
82.32,45.43,51.98,23.6,57.56,6.18,82.55,maize
98.19,60.43,44.57,21.56,61.77,6.96,86.64,maize
78.07,45.44,69.77,22.94,73.56,6.5,94.78,maize
96.94,55.75,67.81,23.31,59.49,5.91,97.61,maize
108.8,61.27,56.2,26.62,62.44,5.88,163.57,maize
73.76,43.21,65.26,25.87,63.64,6.27,131.73,maize
96.9,57.02,55.63,26.15,63.79,6.9,127.57,maize
87.75,47.7,58.71,20.09,67.26,6.79,82.62,maize
104.73,68.89,42.67,23.33,73.86,6.9,164.62,maize
77.09,54.51,62.66,23.85,59.81,6.52,149.51,maize
97.71,64.18,43.83,20.15,57.43,6.42,77.44,maize
103.52,56.51,64.78,22.08,58.95,6.01,147.86,maize
107.78,41.3,63.46,26.08,72.74,6.26,129.79,maize
97.33,58.99,61.26,21.1,67.92,6.41,78.99,maize
89.89,68.54,41.08,24.28,60.72,5.92,120.41,maize
94.71,58.05,49.09,21.72,71.32,6.11,123.32,maize
104.76,64.58,47.89,20.1,72.23,6.64,88.24,maize
92.82,66.53,50.8,21.93,71.93,6.83,174.03,maize
71.22,46.84,42.63,27.81,73.38,7.2,163.5,maize
107.24,46.36,68.11,26.41,60.04,7.11,143.59,maize
97.58,58.33,56.61,27.68,70.1,6.7,120.85,maize
97.06,52.33,49.17,23.9,64.21,6.39,115.29,maize
78.63,65.2,51.91,20.88,71.84,6.69,141.61,maize
96.36,67.0,53.42,24.38,69.57,6.9,130.0,maize
85.75,50.6,58.02,23.64,70.53,5.97,76.85,maize
96.05,47.11,55.47,26.75,68.12,6.37,126.38,maize
74.26,63.42,67.58,20.78,58.55,6.98,158.7,maize
96.31,48.24,54.91,23.91,65.9,6.34,120.52,maize
109.98,64.68,69.76,21.2,74.69,6.6,75.72,maize
71.93,52.71,65.54,22.6,73.75,6.62,156.49,maize
109.09,60.03,46.26,25.9,55.86,6.06,92.15,maize
86.28,42.87,67.92,23.81,58.3,6.31,98.45,maize
104.83,58.72,43.49,23.01,57.63,6.27,88.12,maize
101.3,53.55,64.52,23.16,69.52,5.84,106.32,maize
92.68,57.6,51.42,23.68,71.36,5.83,153.24,maize
99.54,45.04,66.34,26.28,59.27,6.96,127.13,maize
105.14,62.11,66.04,27.14,65.12,6.18,92.54,maize
86.17,65.88,64.18,27.64,71.81,6.53,166.56,maize
83.08,46.5,63.7,26.3,69.66,6.22,166.75,maize
96.7,42.87,49.14,22.52,65.84,7.12,165.76,maize
102.31,40.71,42.43,25.51,66.81,6.16,96.27,maize
100.49,59.26,52.09,23.5,65.17,6.4,119.64,maize
101.91,58.21,45.21,22.04,60.95,7.02,178.35,maize
87.42,56.4,60.85,26.73,66.3,6.98,154.92,maize
102.71,46.96,50.38,20.31,68.78,6.06,72.99,maize
74.81,51.73,69.27,27.21,72.47,6.92,77.17,maize
91.78,57.83,59.23,23.69,67.73,6.44,121.03,maize
70.23,54.9,64.67,25.1,70.22,6.48,170.01,maize
82.98,69.63,43.98,25.27,58.2,5.99,129.26,maize
84.66,44.09,65.86,27.16,64.23,5.91,124.76,maize
85.85,60.85,67.68,25.09,55.19,6.82,81.6,maize
97.82,52.13,54.61,24.91,59.93,6.5,142.25,maize
85.54,52.85,58.19,20.53,69.53,6.41,160.43,maize
87.95,61.53,62.94,24.15,74.84,6.82,111.85,maize
79.5,60.77,45.25,21.2,56.98,6.87,155.32,maize
84.93,69.74,55.08,25.9,63.03,6.02,176.09,maize
79.09,43.85,51.96,24.1,71.0,6.65,92.41,maize
72.93,43.12,44.39,25.44,59.08,5.99,127.57,maize
94.14,61.73,51.03,20.33,66.1,6.85,101.59,maize
96.73,57.35,42.05,20.68,69.66,6.72,157.21,maize
94.78,48.22,40.77,25.73,67.32,7.14,133.54,maize
88.54,42.38,44.05,20.58,58.76,5.9,139.8,maize
85.19,42.57,68.89,20.57,62.11,5.88,157.77,maize
104.53,66.83,56.49,20.1,70.68,6.2,113.56,maize
57.45,79.3,84.08,21.41,56.55,7.26,81.7,chickpea
45.99,53.32,77.16,18.72,55.29,6.11,118.08,chickpea
34.74,62.68,75.38,22.1,51.47,7.5,50.04,chickpea
50.88,51.26,68.8,21.11,59.12,6.64,41.36,chickpea
53.8,72.2,87.95,24.77,44.01,6.0,101.61,chickpea
39.5,77.54,71.91,24.06,42.19,7.02,104.57,chickpea
55.72,58.4,62.61,21.65,57.08,6.09,49.62,chickpea
57.18,75.75,78.51,20.18,48.78,6.55,61.25,chickpea
38.31,58.77,63.42,27.88,56.94,7.41,41.4,chickpea
59.51,77.32,70.36,22.54,57.86,6.13,63.46,chickpea
34.22,72.62,75.22,24.88,41.25,7.68,101.85,chickpea
36.06,74.15,86.23,19.41,57.67,6.01,81.44,chickpea
35.53,50.54,74.81,22.86,48.97,6.49,67.85,chickpea
56.82,78.88,81.07,18.28,50.21,7.48,69.74,chickpea
49.63,71.8,89.78,23.05,52.53,6.63,40.11,chickpea
34.56,59.14,63.94,27.64,58.53,6.2,63.98,chickpea
43.21,74.88,68.24,21.84,40.38,6.72,91.72,chickpea
48.46,58.45,71.84,18.39,49.54,6.54,117.94,chickpea
32.5,76.18,72.65,18.31,53.75,7.69,107.76,chickpea
56.47,53.38,72.33,21.88,54.45,6.63,41.89,chickpea
54.11,71.11,87.23,19.6,53.85,7.58,111.88,chickpea
45.16,66.22,81.42,18.23,42.69,7.78,102.66,chickpea
59.01,52.9,78.24,25.56,45.99,6.87,102.43,chickpea
42.53,57.26,69.28,22.59,47.17,7.82,76.64,chickpea
59.52,50.37,84.71,20.89,56.09,6.75,71.84,chickpea
50.04,64.06,88.65,27.0,45.58,7.93,64.23,chickpea
49.04,59.04,84.64,19.16,44.21,6.18,45.26,chickpea
34.98,67.95,60.05,27.56,59.15,7.37,58.26,chickpea
56.46,58.92,79.09,21.14,40.18,6.99,59.73,chickpea
42.82,59.0,61.53,26.88,59.96,6.78,78.73,chickpea
34.87,72.3,67.73,24.03,53.54,7.27,99.8,chickpea
30.38,51.44,61.79,26.27,56.57,7.41,77.9,chickpea
46.79,77.09,78.11,27.84,45.89,6.01,44.63,chickpea
45.82,75.57,80.6,20.88,40.29,6.33,116.62,chickpea
51.58,70.03,63.43,27.61,54.76,7.43,115.42,chickpea
56.71,67.8,71.52,21.89,56.68,7.33,102.82,chickpea
32.38,76.77,73.69,21.86,54.81,7.93,119.31,chickpea
51.94,55.56,71.07,21.4,42.86,7.52,83.56,chickpea
35.62,52.37,63.63,23.41,55.07,7.9,117.02,chickpea
55.75,57.19,72.57,19.54,55.38,7.41,46.05,chickpea
54.57,73.84,82.54,23.54,53.17,6.6,69.25,chickpea
46.22,51.04,62.13,23.42,55.32,6.21,58.03,chickpea
51.31,67.48,62.41,25.62,56.92,7.56,55.67,chickpea
39.43,79.86,70.64,26.34,52.27,7.29,51.26,chickpea
44.14,75.67,88.25,22.4,41.77,6.1,89.79,chickpea
54.65,65.64,80.06,21.02,49.75,6.72,102.51,chickpea
43.78,51.91,80.36,20.59,41.55,7.91,86.26,chickpea
40.73,74.94,70.86,19.95,48.15,7.0,51.76,chickpea
44.83,67.97,77.81,18.58,48.14,6.87,104.89,chickpea
54.85,53.45,60.3,21.42,41.32,6.92,90.88,chickpea
40.06,52.82,79.08,20.7,46.98,6.42,71.05,chickpea
35.21,77.29,87.4,27.66,42.22,6.74,93.93,chickpea
51.36,70.08,78.38,23.58,56.16,6.74,60.79,chickpea
54.78,74.88,86.21,21.47,58.95,6.1,67.62,chickpea
33.02,76.37,81.72,23.8,41.45,7.54,113.4,chickpea
37.2,67.15,63.62,19.39,59.1,6.83,63.24,chickpea
34.26,65.52,87.07,22.44,50.45,7.64,77.6,chickpea
40.44,62.91,61.99,24.26,45.99,7.7,111.21,chickpea
43.51,59.51,76.02,22.89,41.54,6.42,96.62,chickpea
52.46,63.04,64.26,22.02,50.01,7.31,44.98,chickpea
49.53,73.22,60.35,27.94,55.89,6.94,51.78,chickpea
48.63,68.06,72.66,26.8,54.14,7.76,40.63,chickpea
40.57,76.78,68.85,24.23,41.0,6.43,90.47,chickpea
55.24,63.3,74.58,23.69,41.46,7.36,75.81,chickpea
44.14,68.21,77.32,24.21,48.06,7.22,50.74,chickpea
59.37,68.94,61.31,20.01,45.91,6.59,116.63,chickpea
49.02,67.75,63.69,21.95,44.65,6.27,82.37,chickpea
33.79,71.08,76.76,18.39,45.62,7.3,59.35,chickpea
50.29,57.12,70.3,22.76,56.07,7.48,80.05,chickpea
39.75,65.37,81.88,23.43,58.58,6.63,94.37,chickpea
50.59,53.13,79.57,20.28,48.1,7.29,46.1,chickpea
32.09,61.54,85.37,27.64,58.12,6.79,61.98,chickpea
35.25,64.63,80.77,27.09,46.43,7.43,104.56,chickpea
55.67,69.57,72.9,25.22,49.53,6.4,76.77,chickpea
36.82,78.52,80.19,23.33,44.52,7.78,83.73,chickpea
55.11,68.02,68.26,26.7,52.81,6.57,74.63,chickpea
38.38,72.31,69.19,19.31,59.58,6.74,43.51,chickpea
49.29,65.19,83.67,25.91,52.07,6.12,53.26,chickpea
50.82,69.02,73.39,19.25,47.16,6.22,75.64,chickpea
45.38,52.13,83.95,25.94,52.96,7.03,56.73,chickpea
39.16,57.63,84.67,20.76,42.46,6.54,44.0,chickpea
36.38,60.86,85.73,26.77,57.77,7.67,107.49,chickpea
31.0,64.17,87.5,27.44,50.06,6.03,118.5,chickpea
39.12,51.37,72.93,19.49,48.99,6.76,103.45,chickpea
49.59,54.2,69.57,22.63,51.72,6.67,108.3,chickpea
58.15,58.3,77.47,27.81,52.5,6.04,59.36,chickpea
56.14,79.15,71.14,22.83,41.44,6.25,116.85,chickpea
52.98,59.94,78.03,26.64,53.65,6.83,55.75,chickpea
53.65,64.46,81.17,23.89,44.84,6.99,116.11,chickpea
49.95,55.88,80.65,21.75,54.28,6.81,119.59,chickpea
37.81,68.32,71.24,20.86,56.45,7.06,96.94,chickpea
57.22,58.42,65.01,20.03,56.08,7.19,118.49,chickpea
50.12,56.21,72.92,25.62,51.05,6.02,85.56,chickpea
46.81,65.5,64.28,21.87,50.4,6.93,60.76,chickpea
33.33,50.17,86.7,23.11,42.86,7.93,74.96,chickpea
43.41,50.23,70.38,22.92,55.51,7.04,87.48,chickpea
43.81,56.57,64.63,23.77,45.43,7.36,45.85,chickpea
55.94,51.1,60.76,26.66,49.93,6.62,89.79,chickpea
46.4,53.24,79.37,27.81,45.69,7.55,118.49,chickpea
41.41,60.17,79.11,22.08,42.68,7.55,55.21,chickpea
34.81,58.84,31.82,18.83,61.07,6.15,106.73,kidneybeans
37.7,77.97,34.92,24.74,60.06,7.0,109.49,kidneybeans
38.59,55.0,21.26,26.23,53.88,6.34,199.89,kidneybeans
39.0,67.5,30.62,21.91,67.18,5.98,132.66,kidneybeans
28.04,70.68,29.29,20.33,63.54,5.83,174.82,kidneybeans
39.43,56.64,35.82,21.91,66.76,6.03,180.67,kidneybeans
33.93,84.19,37.65,24.51,67.18,6.06,185.8,kidneybeans
19.04,61.78,15.3,18.08,64.97,5.6,199.76,kidneybeans
26.92,64.13,31.85,23.31,58.78,6.05,124.15,kidneybeans
32.96,64.12,16.3,23.52,62.21,6.2,104.04,kidneybeans
21.18,61.91,28.72,23.74,53.21,6.58,141.12,kidneybeans
31.02,55.04,22.19,20.18,63.47,6.49,113.01,kidneybeans
31.67,76.88,22.67,24.43,53.59,6.56,102.24,kidneybeans
19.07,84.01,23.82,18.82,63.88,5.51,136.04,kidneybeans
29.13,61.73,30.53,19.79,54.59,5.83,178.37,kidneybeans
34.29,74.89,23.35,25.9,52.35,6.49,156.62,kidneybeans
27.47,77.26,33.32,24.65,53.31,6.23,131.28,kidneybeans
15.3,80.45,25.11,18.12,50.04,5.51,165.43,kidneybeans
15.23,67.68,16.71,20.24,64.37,6.71,123.2,kidneybeans
23.93,64.09,34.59,19.93,64.65,6.66,101.44,kidneybeans
38.15,64.76,22.14,20.44,60.3,6.32,176.44,kidneybeans
20.72,76.38,25.82,20.23,53.23,5.6,162.37,kidneybeans
30.86,79.5,32.14,18.56,51.67,6.65,176.23,kidneybeans
20.55,60.45,23.31,22.13,50.38,6.38,103.89,kidneybeans
23.04,66.13,16.41,24.59,53.31,6.67,183.71,kidneybeans
36.2,82.06,24.35,23.46,67.82,6.63,161.95,kidneybeans
33.22,79.2,38.61,24.06,54.83,6.7,156.34,kidneybeans
17.38,84.55,31.04,18.73,57.09,6.28,162.46,kidneybeans
25.72,77.63,31.79,26.56,52.11,5.71,186.44,kidneybeans
15.73,66.8,30.81,25.55,54.45,6.51,158.69,kidneybeans
27.02,72.72,19.97,25.25,60.38,6.43,158.1,kidneybeans
31.56,74.83,25.46,25.41,62.16,6.61,199.07,kidneybeans
17.96,57.35,33.77,26.39,54.91,5.75,175.67,kidneybeans
22.22,71.33,17.53,22.9,51.15,5.79,144.23,kidneybeans
24.95,76.28,21.95,19.8,57.82,6.84,170.74,kidneybeans
